,File,Duration (Sec),Text Length,Speaking Length (ms),Spealing Percentage
330,0XLKQME2ZJc_0150,4.0,8,3.1999999999999993,0.7999999999999998
331,0XLKQME2ZJc_0151,4.2,4,2.1,0.5
332,0XLKQME2ZJc_0152,3.1,6,2.9,0.9354838709677419
333,0XLKQME2ZJc_0153,2.0,6,1.9,0.95
334,0XLKQME2ZJc_0154,1.8,5,1.5,0.8333333333333333
335,0XLKQME2ZJc_0155,4.3,8,2.4,0.5581395348837209
336,0XLKQME2ZJc_0156,2.8,6,2.4,0.8571428571428572
337,0XLKQME2ZJc_0157,1.6,5,1.4000000000000001,0.875
338,0XLKQME2ZJc_0158,2.742,4,1.6999999999999997,0.6199854121079503
339,0WTBFu4kJyQ_0000,4.3,7,2.5999999999999996,0.6046511627906976
340,0WTBFu4kJyQ_0001,5.0,8,3.4,0.6799999999999999
341,0WTBFu4kJyQ_0002,3.4,8,3.0,0.8823529411764706
342,0WTBFu4kJyQ_0003,4.6,6,2.9,0.6304347826086957
343,0WTBFu4kJyQ_0004,4.1,6,2.3,0.5609756097560976
344,0WTBFu4kJyQ_0005,5.9,9,3.8000000000000003,0.6440677966101696
345,0WTBFu4kJyQ_0006,1.8,4,1.5,0.8333333333333333
346,0WTBFu4kJyQ_0007,2.7,4,2.0,0.7407407407407407
347,0WTBFu4kJyQ_0008,2.7,4,2.0,0.7407407407407407
348,0WTBFu4kJyQ_0009,2.1,6,1.4000000000000001,0.6666666666666667
349,0WTBFu4kJyQ_0010,3.9,6,2.6000000000000005,0.6666666666666669
350,0WTBFu4kJyQ_0011,3.7,4,1.8000000000000003,0.4864864864864865
351,0WTBFu4kJyQ_0012,3.6,8,2.8000000000000003,0.7777777777777778
352,0WTBFu4kJyQ_0013,4.6,7,3.3999999999999995,0.7391304347826086
353,0WTBFu4kJyQ_0014,5.1,8,2.7,0.5294117647058825
354,0WTBFu4kJyQ_0015,4.6,5,3.1,0.673913043478261
355,0WTBFu4kJyQ_0016,5.8,7,3.9000000000000004,0.6724137931034484
356,0WTBFu4kJyQ_0017,4.6,5,3.2000000000000006,0.6956521739130437
357,0WTBFu4kJyQ_0018,3.4,6,2.6,0.7647058823529412
358,0WTBFu4kJyQ_0019,3.8,7,3.1,0.8157894736842106
359,0WTBFu4kJyQ_0020,9.3,9,4.9,0.5268817204301075
360,0WTBFu4kJyQ_0021,4.9,8,3.4000000000000004,0.6938775510204082
361,0WTBFu4kJyQ_0022,5.6,5,3.6999999999999993,0.6607142857142856
362,0WTBFu4kJyQ_0023,4.9,8,3.3000000000000007,0.6734693877551021
363,0WTBFu4kJyQ_0024,3.9,5,2.7,0.6923076923076924
364,0WTBFu4kJyQ_0025,4.0,6,3.3,0.825
365,0WTBFu4kJyQ_0026,4.4,4,3.1,0.7045454545454545
366,0WTBFu4kJyQ_0027,5.2,7,3.6999999999999997,0.7115384615384615
367,0WTBFu4kJyQ_0028,3.8,7,3.0,0.7894736842105263
368,0WTBFu4kJyQ_0029,5.9,8,4.7,0.7966101694915254
369,0WTBFu4kJyQ_0030,3.5,6,2.9,0.8285714285714285
370,0WTBFu4kJyQ_0031,5.2,6,3.0000000000000004,0.576923076923077
371,0WTBFu4kJyQ_0032,6.1,9,4.499999999999999,0.7377049180327868
372,0WTBFu4kJyQ_0033,3.7,7,2.7,0.7297297297297297
373,0WTBFu4kJyQ_0034,4.2,5,2.9000000000000004,0.6904761904761906
374,0WTBFu4kJyQ_0035,5.1,6,4.3,0.8431372549019608
375,0WTBFu4kJyQ_0036,3.3,7,2.2,0.6666666666666667
376,0WTBFu4kJyQ_0037,2.8,4,2.1999999999999997,0.7857142857142857
377,0WTBFu4kJyQ_0038,4.6,7,1.9,0.41304347826086957
378,0WTBFu4kJyQ_0039,6.9,7,3.7,0.5362318840579711
379,0WTBFu4kJyQ_0040,3.4,6,2.6,0.7647058823529412
380,0WTBFu4kJyQ_0041,4.6,5,2.8999999999999995,0.6304347826086956
381,0WTBFu4kJyQ_0042,4.6,8,3.999999999999999,0.8695652173913042
382,0WTBFu4kJyQ_0043,3.1,5,2.3,0.7419354838709676
383,0WTBFu4kJyQ_0044,4.5,7,3.0999999999999996,0.6888888888888888
384,0WTBFu4kJyQ_0045,4.9,7,3.6000000000000005,0.7346938775510204
385,0WTBFu4kJyQ_0046,2.2,5,1.5000000000000002,0.6818181818181819
386,0WTBFu4kJyQ_0047,2.9,5,2.3,0.793103448275862
387,0WTBFu4kJyQ_0048,5.2,6,3.5,0.673076923076923
388,0WTBFu4kJyQ_0049,4.85,5,2.5999999999999996,0.5360824742268041
389,0WTBFu4kJyQ_0050,4.8,5,2.8999999999999995,0.6041666666666666
390,0WTBFu4kJyQ_0051,5.1,8,3.5999999999999996,0.7058823529411764
391,0WTBFu4kJyQ_0052,4.9,6,4.000000000000001,0.816326530612245
392,0WTBFu4kJyQ_0053,4.3,7,2.5999999999999996,0.6046511627906976
393,0WTBFu4kJyQ_0054,3.4,4,2.3999999999999995,0.7058823529411763
394,0WTBFu4kJyQ_0055,2.3,5,2.0,0.8695652173913044
395,0WTBFu4kJyQ_0056,3.2,4,2.8000000000000003,0.875
396,0WTBFu4kJyQ_0057,3.0,4,2.0,0.6666666666666666
397,0WTBFu4kJyQ_0058,3.3,4,1.9999999999999998,0.6060606060606061
398,0WTBFu4kJyQ_0059,4.4,9,3.2,0.7272727272727273
399,0WTBFu4kJyQ_0060,4.0,8,3.1999999999999997,0.7999999999999999
400,0WTBFu4kJyQ_0061,5.0,7,3.2,0.64
401,0WTBFu4kJyQ_0062,2.7,7,2.1000000000000005,0.7777777777777779
402,0WTBFu4kJyQ_0063,3.9,6,3.0000000000000004,0.7692307692307694
403,0WTBFu4kJyQ_0064,4.9,5,2.6999999999999997,0.5510204081632653
404,0WTBFu4kJyQ_0065,4.8,7,3.0999999999999996,0.6458333333333333
405,0WTBFu4kJyQ_0066,3.4,6,2.0999999999999996,0.6176470588235293
406,0WTBFu4kJyQ_0067,4.5,6,2.4000000000000004,0.5333333333333334
407,0WTBFu4kJyQ_0068,3.4,7,1.7000000000000002,0.5000000000000001
408,0WTBFu4kJyQ_0069,3.6,7,2.8000000000000003,0.7777777777777778
409,0WTBFu4kJyQ_0070,2.6,7,2.3,0.8846153846153845
410,0WTBFu4kJyQ_0071,3.1,4,2.6,0.8387096774193549
411,0WTBFu4kJyQ_0072,4.1,6,2.4999999999999996,0.6097560975609756
412,0WTBFu4kJyQ_0073,4.0,6,2.5999999999999996,0.6499999999999999
413,0WTBFu4kJyQ_0074,4.1,5,2.3000000000000003,0.5609756097560977
414,0WTBFu4kJyQ_0075,3.5,6,3.2,0.9142857142857144
415,0WTBFu4kJyQ_0076,3.2,4,2.4000000000000004,0.7500000000000001
416,0WTBFu4kJyQ_0077,3.5,4,1.9000000000000001,0.5428571428571429
417,0WTBFu4kJyQ_0078,3.9,5,2.6000000000000005,0.6666666666666669
418,0WTBFu4kJyQ_0079,2.2,3,1.8000000000000003,0.8181818181818182
419,0WTBFu4kJyQ_0080,6.2,6,3.3000000000000007,0.5322580645161291
420,0WTBFu4kJyQ_0081,4.3,5,3.0999999999999996,0.7209302325581395
421,0WTBFu4kJyQ_0082,2.4,6,2.1999999999999997,0.9166666666666666
422,0WTBFu4kJyQ_0083,4.5,5,2.0,0.4444444444444444
423,0WTBFu4kJyQ_0084,4.0,3,1.9000000000000004,0.4750000000000001
424,0WTBFu4kJyQ_0085,3.9,7,1.9,0.48717948717948717
425,0WTBFu4kJyQ_0086,2.9,4,2.2,0.7586206896551725
426,0WTBFu4kJyQ_0087,3.4,6,2.7,0.7941176470588236
427,0WTBFu4kJyQ_0088,4.3,7,2.8,0.6511627906976744
428,0WTBFu4kJyQ_0089,4.8,8,3.1000000000000005,0.6458333333333335
429,0WTBFu4kJyQ_0090,2.3,5,1.5999999999999999,0.6956521739130435
430,0WTBFu4kJyQ_0091,4.5,8,3.9,0.8666666666666667
431,0WTBFu4kJyQ_0092,4.6,6,3.4999999999999996,0.7608695652173912
432,0WTBFu4kJyQ_0093,1.7,5,1.5,0.8823529411764706
433,0WTBFu4kJyQ_0094,4.2,7,3.1000000000000005,0.7380952380952381
434,0WTBFu4kJyQ_0095,2.2,5,1.9000000000000001,0.8636363636363636
435,0WTBFu4kJyQ_0096,2.3,3,1.4999999999999998,0.6521739130434782
436,0WTBFu4kJyQ_0097,2.4,5,1.7999999999999998,0.75
437,0WTBFu4kJyQ_0098,4.4,9,3.6,0.8181818181818181
438,0WTBFu4kJyQ_0099,4.1,6,3.0999999999999996,0.7560975609756098
439,0WTBFu4kJyQ_0100,1.9,4,1.7999999999999998,0.9473684210526315
440,0WTBFu4kJyQ_0101,4.1,5,2.6999999999999993,0.6585365853658536
441,0WTBFu4kJyQ_0102,4.8,8,3.0,0.625
442,0WTBFu4kJyQ_0103,3.8,5,1.7999999999999996,0.4736842105263157
443,0WTBFu4kJyQ_0104,2.8,5,1.8000000000000003,0.642857142857143
444,0WTBFu4kJyQ_0105,3.9,5,3.0999999999999996,0.7948717948717948
445,0WTBFu4kJyQ_0106,4.5,8,3.9,0.8666666666666667
446,0WTBFu4kJyQ_0107,4.3,7,2.0,0.46511627906976744
447,0WTBFu4kJyQ_0108,4.3,8,2.6,0.6046511627906977
